"fixed acidity;""volatile acidity"";""citric acid"";""residual sugar"";""chlorides"";""free sulfur dioxide"";""total sulfur dioxide"";""density"";""pH"";""sulphates"";""alcohol"";""quality"""
0.234042553;0.23030303;0.21686747;0.938679245;0.085106383;0.328125;0.434532374;0.984126984;0.240740741;0.277777778;0.054545455;0.5
0.159574468;0.266666667;0.204819277;0.037735849;0.097264438;0.0859375;0.325179856;0.428571429;0.518518519;0.333333333;0.181818182;0.5
0.35106383;0.242424242;0.240963855;0.287735849;0.100303951;0.2109375;0.224460432;0.515873016;0.481481481;0.263888889;0.290909091;0.5
0.255319149;0.181818182;0.192771084;0.363207547;0.124620061;0.34375;0.48057554;0.555555556;0.416666667;0.208333333;0.254545455;0.5
0.255319149;0.181818182;0.192771084;0.363207547;0.124620061;0.34375;0.48057554;0.555555556;0.416666667;0.208333333;0.254545455;0.5
0.35106383;0.242424242;0.240963855;0.287735849;0.100303951;0.2109375;0.224460432;0.515873016;0.481481481;0.263888889;0.290909091;0.5
0.14893617;0.290909091;0.096385542;0.29245283;0.085106383;0.2109375;0.336690647;0.5;0.407407407;0.305555556;0.2;0.5
0.234042553;0.23030303;0.21686747;0.938679245;0.085106383;0.328125;0.434532374;0.984126984;0.240740741;0.277777778;0.054545455;0.5
0.159574468;0.266666667;0.204819277;0.037735849;0.097264438;0.0859375;0.325179856;0.428571429;0.518518519;0.333333333;0.181818182;0.5
0.35106383;0.16969697;0.259036145;0.033018868;0.082066869;0.1953125;0.316546763;0.412698413;0.444444444;0.277777778;0.454545455;0.5
0.35106383;0.23030303;0.246987952;0.030660377;0.048632219;0.0625;0.126618705;0.174603175;0.231481481;0.430555556;0.636363636;0.333333333
0.404255319;0.181818182;0.240963855;0.160377358;0.054711246;0.109375;0.258992806;0.484126984;0.37037037;0.388888889;0.218181818;0.333333333
0.329787234;0.121212121;0.222891566;0.018867925;0.069908815;0.1015625;0.161151079;0.26984127;0.407407407;0.527777778;0.418181818;0.333333333
0.191489362;0.096969697;0.240963855;0.033018868;0.082066869;0.3515625;0.356834532;0.206349206;0.740740741;0.375;0.709090909;0.666666667
0.372340426;0.412121212;0.373493976;0.870283019;0.069908815;0.296875;0.44028777;0.920634921;0.222222222;0.583333333;0.218181818;0.333333333
0.191489362;0.109090909;0.228915663;0.033018868;0.045592705;0.1953125;0.267625899;0.222222222;0.472222222;0.416666667;0.527272727;0.666666667
0.159574468;0.484848485;0.024096386;0.014150943;0.088145897;0.2109375;0.230215827;0.333333333;0.462962963;0.152777778;0.2;0.5
0.14893617;0.703030303;0.289156627;0.018867925;0.036474164;0.203125;0.161151079;0.047619048;0.546296296;0.194444444;0.781818182;0.833333333
0.276595745;0.315151515;0.253012048;0.014150943;0.048632219;0.109375;0.437410072;0.246031746;0.351851852;0.388888889;0.509090909;0.5
0.180851064;0.278787879;0.084337349;0.316037736;0.082066869;0.2421875;0.328057554;0.547619048;0.444444444;0.347222222;0.181818182;0.333333333
0.14893617;0.703030303;0.289156627;0.018867925;0.036474164;0.203125;0.161151079;0.047619048;0.546296296;0.194444444;0.781818182;0.833333333
